term,coefficient,class
president donald,1.7343452261701926,real
washington,1.3686180848832288,real
thursday,1.36549495627134,real
wednesday,1.2997696638370586,real
tuesday,1.2799947981879165,real
reuters,1.1481700335097,real
washington president,1.0603371624049878,real
london,1.0589423606593047,real
thats,1.0576582393529912,real
friday,1.0400244829353584,real
president barack,1.0354759904262452,real
im,1.0064795041849584,real
said,0.9781763672919116,real
monday,0.9702462399613395,real
said statement,0.8564924493196286,real
nov,0.8516163364852428,real
said thursday,0.8480594426768144,real
he,0.767643806464426,real
showed,0.7512581563110905,real
ive,0.7436093786056485,real
there,0.7318909870971005,real
sunday,0.7122959479292684,real
told reporter,0.6893844929245141,real
told reuters,0.688730351762488,real
dont,0.6810761635981658,real
factbox,0.6784656561684165,real
republican presidential,0.6763850645957777,real
news conference,0.6730033144615042,real
rival,0.6720363651851256,real
hillary clinton,0.6667243527607551,real
via,-2.373323476464851,fake
video,-2.3095590880930383,fake
breaking,-1.616876180478807,fake
president trump,-1.5895954563902064,fake
gop,-1.5070520967627823,fake
hillary,-1.3836673609163266,fake
rep,-1.082973365856641,fake
sen,-0.9752135858876864,fake
image via,-0.9504362079619694,fake
isi,-0.9387822199520537,fake
really,-0.9239192718314987,fake
reportedly,-0.8980479521806336,fake
watch,-0.8782008423790687,fake
washington post,-0.8121817081188263,fake
mr,-0.7857256877730934,fake
night,-0.7834143296514701,fake
obama,-0.7606160714531851,fake
gov,-0.7514051302161223,fake
even,-0.7454563899416556,fake
liberal,-0.7280273436335124,fake
image,-0.7223284410204536,fake
morning,-0.7055834874622252,fake
century wire,-0.7054233051999991,fake
american,-0.6885166168742595,fake
like,-0.6827034416375504,fake
wire,-0.6807260882438889,fake
terrorist,-0.6721463369736852,fake
daily,-0.6699351941852847,fake
wire say,-0.6606493339427617,fake
dc,-0.654687269391073,fake
